IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20190045,3,Masculino,Fallecida,Adulto 30 a 39
20190046,4,Femenino,Fallecida,Adulto Joven
20190047,1,Masculino,Fallecida,Adulto Mayor
20190048,3,Masculino,Fallecida,Adulto 30 a 39
20190049,1,Femenino,Fallecida,Adulto Mayor
20190050,3,Masculino,Fallecida,Adulto Joven
20190051,3,Masculino,Fallecida,Adulto 40 a 49
20190053,4,Masculino,Fallecida,Adulto 40 a 49
20190054,3,Masculino,Fallecida,Adulto Joven
20190055,3,Masculino,Fallecida,Adulto 40 a 49
20190056,1,Femenino,Fallecida,Adulto Mayor
20190057,1,Femenino,Fallecida,Adulto Mayor
20190058,3,Masculino,Fallecida,Adulto 30 a 39
20190059,3,Masculino,Fallecida,Adulto 30 a 39
20190060,1,Femenino,Fallecida,Adulto Mayor
20190061,1,Femenino,Fallecida,Adulto 50 a 59
20190062,1,Femenino,Fallecida,Adulto Mayor
20190063,4,Masculino,Fallecida,
20190064,3,Masculino,Fallecida,Adulto Joven
20190065,1,Femenino,Fallecida,Adulto 50 a 59
20190066,1,Masculino,Fallecida,Adulto 40 a 49
20190067,3,Masculino,Fallecida,Adulto 30 a 39
20190068,3,Masculino,Fallecida,Adulto 50 a 59
20190069,3,Masculino,Fallecida,Adulto 40 a 49
20190070,3,Masculino,Fallecida,Adulto Joven
20190071,1,Masculino,Fallecida,
20190072,3,Masculino,Fallecida,Adulto Joven
20190073,3,Masculino,Fallecida,Adulto Joven
20190074,3,Masculino,Fallecida,Adulto 30 a 39
20190075,3,Masculino,Fallecida,Adulto 30 a 39
20190076,3,Femenino,Fallecida,Adulto Joven
20190077,1,Femenino,Fallecida,Adulto Joven
20190078,1,Femenino,Fallecida,Adulto Mayor
20190079,3,Masculino,Fallecida,Adulto 50 a 59
20190080,1,Masculino,Fallecida,Adulto Mayor
20190081,1,Masculino,Fallecida,Adulto Mayor
20190082,2,Masculino,Fallecida,Adulto 40 a 49
20190083,3,Masculino,Fallecida,Adulto Mayor
20190084,2,Femenino,Fallecida,Adulto 40 a 49
20190085,2,Masculino,Fallecida,Adulto Joven
20190086,3,Masculino,Fallecida,Adulto Joven
20190087,3,Masculino,Fallecida,Adulto 40 a 49
20190088,1,Masculino,Fallecida,Adulto Joven
20190089,1,Femenino,Fallecida,Adulto Mayor
20190090,1,Masculino,Fallecida,Adulto Mayor
20190091,1,Masculino,Fallecida,Adulto 30 a 39
20190092,1,Masculino,Fallecida,Adulto 30 a 39
20190093,2,Masculino,Fallecida,Adolescente
20190094,4,Femenino,Fallecida,
20190095,3,Masculino,Fallecida,
20190096,1,Masculino,Fallecida,Adulto Mayor
20190097,4,Femenino,Fallecida,Adulto Joven
